Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Chrome River Technologies,https://www.crunchbase.com/organization/chrome-river-technologies,"Accounting, Business Travel, Compliance, Enterprise Applications, Information Technology, SaaS, Software, Web Apps","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2007-01-01,year,2019-03-05,day,2018-01-04,35000000,USD,35000000,Venture - Series Unknown,35000000,USD,35000000,M&A,"Adams Street Partners, Bain Capital, Bain Capital Ventures, First Analysis, Great Hill Partners",8
WizCounsel,https://www.crunchbase.com/organization/wizcounsel,"Compliance, Consulting, Financial Services, Legal, Marketplace","New Delhi, Delhi, India",Asia-Pacific (APAC),2018-07-01,month,,,2019-06-28,10000000,INR,145031,Angel,10000000,INR,145031,Seed,"Kapil Dev, Manas Fuloria, Sunil Kumar Gupta",3
QEDIT,https://www.crunchbase.com/organization/qed-it,"Blockchain, Compliance, Computer, Information Technology, Network Security, Privacy","Tel Aviv, Tel Aviv, Israel",,2016-01-01,year,,,2019-05-07,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Ant Financial, Meron Capital, RGAx, Target Global, VMware",13
Cognigo,https://www.crunchbase.com/organization/cognigo,"Artificial Intelligence, Cloud Security, Compliance, Data Center, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-08-01,month,2019-05-27,day,2018-11-13,8500000,USD,8500000,Series A,8500000,USD,8500000,M&A,"MassChallenge, Mitvah Shamir, OurCrowd, Prosegur, State of Mind Ventures",5
Quantexa,https://www.crunchbase.com/organization/quantexa,"Analytics, Artificial Intelligence, Big Data, Compliance, Financial Services, FinTech","London, England, United Kingdom",European Union (EU),2016-03-06,day,,,2019-03-27,,,,Venture - Series Unknown,,,,,"Accenture, Albion Capital Group, Dawn Capital, Future Fifty, HSBC",5
Convercent,https://www.crunchbase.com/organization/convercent,"Compliance, Information Technology, Risk Management, Software, Telecommunications","Denver, Colorado, United States","Greater Denver Area, Western US",2013-01-29,day,,,2017-12-19,25000000,USD,25000000,Series E,25000000,USD,25000000,Late Stage Venture,"Azure Capital Partners, Rho Ventures, Sapphire Ventures, Tola Capital, Trinity Capital Investment",7
Aras,https://www.crunchbase.com/organization/aras,"Collaboration, Compliance, Open Source, Software","Solothurn, Solothurn, Switzerland",,2000-03-24,day,,,2018-11-29,70000000,USD,70000000,Series D,70000000,USD,70000000,Late Stage Venture,"Blue Cloud Ventures, GE Ventures, Goldman Sachs Private Capital Investing, Silver Lake Kraftwerk",4
Wallarm,https://www.crunchbase.com/organization/wallarm,"Analytics, Compliance, Cyber Security, Risk Management, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2013-01-01,year,,,2018-10-22,8000000,USD,8000000,Series A,8000000,USD,8000000,Early Stage Venture,"Amino Capital, Partech, Runa Capital, Toba Capital, Y Combinator",8
GO1,https://www.crunchbase.com/organization/go1,"Business Development, Compliance, Corporate Training, CRM, E-Learning, Education, Software, Training","Brisbane, Queensland, Australia","Asia-Pacific (APAC), Australasia",2015-01-01,year,,,2019-03-18,30000000,USD,30000000,Series B,30000000,USD,30000000,Early Stage Venture,"Blue Sky Private Equity, FundersClub, M12, SEEK Ltd., Y Combinator",16
Tookitaki,https://www.crunchbase.com/organization/tookitaki,"Artificial Intelligence, Compliance, Finance, FinTech, Machine Learning, Predictive Analytics","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2014-11-30,day,,,2019-03-17,7500000,USD,7500000,Series A,7500000,USD,7500000,Early Stage Venture,"Blume Ventures, Illuminate Financial, India Internet Fund, Jungle Ventures, Rebright Partners",16
Very Good Security,https://www.crunchbase.com/organization/very-good-security,"Compliance, FinTech, Network Security, Payments, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-01,year,,,2018-08-28,8500000,USD,8500000,Series A,8500000,USD,8500000,Early Stage Venture,"Andreessen Horowitz, Max Levchin, Nyca Partners, Slow Ventures, Vertex Ventures",12
FRISS,https://www.crunchbase.com/organization/friss,"Compliance, Cyber Security, Fraud Detection, Information Technology, InsurTech, Risk Management, SaaS, Security, Software","Utrecht, Utrecht, The Netherlands",European Union (EU),2006-08-21,day,,,2017-12-12,15000000,EUR,17613758,Series A,15000000,EUR,17613758,Early Stage Venture,"Aquiline Technology Growth, BlackFin Capital Partners",2
WireWheel.io,https://www.crunchbase.com/organization/wirewheel-io,"Compliance, Cyber Security, Privacy","Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2016-12-22,day,,,2018-10-25,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Grotech Ventures, New Enterprise Associates, Rise of the Rest, SaaS Ventures, Steve Case",8
Arachnys,https://www.crunchbase.com/organization/arachnys,"Compliance, Financial Services, Legal, Risk Management, Software","London, England, United Kingdom",European Union (EU),2010-12-01,day,,,2018-10-04,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Cambridge Angels group, Cambridge Capital Group, Martlet",3
GAN Integrity,https://www.crunchbase.com/organization/gan-integrity-inc,"Compliance, SaaS","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2019-01-09,15000000,USD,15000000,Series B,15000000,USD,15000000,Early Stage Venture,"Chicago Ventures, Cultivation Capital, Edison Partners, FINTOP Capital, MissionOG",7
Tethr,https://www.crunchbase.com/organization/collabip,"Artificial Intelligence, Business Intelligence, Call Center, Compliance, Customer Service, Machine Learning, Predictive Analytics, SaaS","Austin, Texas, United States",Southern US,2013-02-01,day,,,2018-04-30,,,,Venture - Series Unknown,,,,,"Alumni Ventures Group, Grotech Ventures, MissionOG, The Yard Ventures, Total Access Fund",9
REAN Cloud,https://www.crunchbase.com/organization/rean-cloud,"Cloud Security, Compliance, Consulting, CRM, Information Technology, Legal, Software","Herndon, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2013-01-01,year,2018-07-24,day,2017-07-24,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,M&A,"BV Investment Partners, TriCore Solutions",2
encompass,https://www.crunchbase.com/organization/encompass-corporation,"Analytics, Business Intelligence, Compliance, Data Visualization, Information Technology","Glasgow, Glasgow City, United Kingdom",European Union (EU),2011-01-01,year,,,2019-01-01,,,,Undisclosed,,,,,"Adcock Private Equity, Scottish Development International, Scottish Investment Bank, TCV",4
Ascent,https://www.crunchbase.com/organization/ascent-technologies,"Artificial Intelligence, Compliance, Financial Services, Legal, Legal Tech","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2015-01-01,year,,,2018-03-01,6000000,USD,6000000,Series A,6000000,USD,6000000,Early Stage Venture,"Alsop Louie Partners, Dave Hoover, Doug Monieson, Polsky Center for Entrepreneurship and Innovation, Temerity Capital Partners",8
Nivaura,https://www.crunchbase.com/organization/nivaura,"Compliance, Financial Services, FinTech, Legal","London, England, United Kingdom",European Union (EU),2016-01-01,day,,,2019-02-27,20000000,USD,20000000,Seed,20000000,USD,20000000,Seed,"Digital Currency Group, HSBC, London Stock Exchange Group, Santander InnoVentures, Transamerica Ventures",12
Transcend,https://www.crunchbase.com/organization/transcend,"Compliance, IT Infrastructure, Privacy, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,,,2019-04-04,3950000,USD,3950000,Seed,3950000,USD,3950000,Seed,"122WEST VENTURES, Accel, South Park Commons",3
ACL Services,https://www.crunchbase.com/organization/acl-services,"Analytics, Big Data, Compliance, Enterprise Software, Fraud Detection, Risk Management, SaaS","Vancouver, British Columbia, Canada",,1987-01-01,year,,,2017-12-19,50000000,USD,50000000,Corporate Round,50000000,USD,50000000,,Norwest Venture Partners,1
Sigma Ratings,https://www.crunchbase.com/organization/sigma-ratings,"Artificial Intelligence, Compliance, Information Technology, Machine Learning, SaaS","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-01-01,year,,,2018-07-02,2400000,USD,2400000,Seed,2400000,USD,2400000,Seed,"Barclays, Massachusetts Institute of Technology - MIT, MIT delta v, Rough Draft Ventures, Techstars",7
Authenteq,https://www.crunchbase.com/organization/authenteq,"Blockchain, Compliance, FinTech, Fraud Detection, Identity Management, Information Technology, Marketplace, Privacy","Reykjavík, Gullbringusysla, Iceland","Nordic Countries, Scandinavia",2015-06-01,day,,,2019-01-14,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"Cavalry Ventures, Draper Associates, EASME - EU Executive Agency for SMEs, Initial Capital, Startupbootcamp",8
PlainID,https://www.crunchbase.com/organization/plainid,"Business Intelligence, Compliance, Cyber Security, Identity Management, Information Technology","Tel Aviv, Tel Aviv, Israel",,2015-01-01,year,,,2018-07-02,11000000,USD,11000000,Series A,11000000,USD,11000000,Early Stage Venture,"Capri Ventures, iAngels, Springtide Ventures, Viola Ventures",4
Assignar,https://www.crunchbase.com/organization/assignar,"Business Intelligence, Cloud Data Services, Compliance, Construction, Field Support, Public Safety, SaaS, Scheduling","Denver, Colorado, United States","Greater Denver Area, Western US",2014-01-01,day,,,2018-10-23,6200000,USD,6200000,Series A,6200000,USD,6200000,Early Stage Venture,"Our Innovation Fund, LP, Tola Capital",2
Cavirin Systems,https://www.crunchbase.com/organization/cavirin-systems,"Cloud Computing, Cloud Security, Compliance, Developer APIs, Security","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-08-10,day,,,2018-01-01,8000000,USD,8000000,Undisclosed,8000000,USD,8000000,,SRA Holdings,1
