Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
Cloudflare,https://www.crunchbase.com/organization/cloudflare,"Ad Server, Advertising, Analytics, Enterprise Software, Security, Web Hosting","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2009-06-01,month,,,2019-03-12,150000000,USD,150000000,Series E,150000000,USD,150000000,Late Stage Venture,"New Enterprise Associates, Pelion Venture Partners, Qualcomm Ventures, Union Square Ventures, Venrock",12
Symantec,https://www.crunchbase.com/organization/symantec,"Computer, Cyber Security, Information Technology, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",1982-01-01,year,1989-06-30,day,2018-08-16,670000000,USD,670000000,Post-IPO Secondary,500000000,USD,500000000,IPO,"Kleiner Perkins, National Science Foundation, Sequoia Capital, Silver Lake Partners, Starboard Value",5
"Valimail, Inc.",https://www.crunchbase.com/organization/valimail,"Cyber Security, Email, Internet","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-03-01,day,,,2019-06-19,45000000,USD,45000000,Series C,45000000,USD,45000000,Late Stage Venture,"Bloomberg Beta, Flybridge Capital Partners, Insight Partners, Shasta Ventures, Tenaya Capital",6
Digital Shadows,https://www.crunchbase.com/organization/digital-shadows,"Analytics, Artificial Intelligence, Cyber Security, Risk Management","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2011-05-17,day,,,2019-07-09,10000000,USD,10000000,Series C,10000000,USD,10000000,Late Stage Venture,"National Australia Bank, Octopus Ventures, Passion Capital, Storm Ventures, Trinity Ventures",7
BigID,https://www.crunchbase.com/organization/bigid,"Big Data, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-02-01,day,,,2019-07-15,50000013,USD,50000013,Series C,50000013,USD,50000013,Late Stage Venture,"Comcast Ventures, Information Venture Partners, Plug and Play, SAP.iO Fund, Scale Venture Partners",9
Exabeam,https://www.crunchbase.com/organization/exabeam,"Analytics, Big Data, Cyber Security, Enterprise Software, Information Technology, Real Time, Security","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-05-07,75000000,USD,75000000,Series E,75000000,USD,75000000,Late Stage Venture,"Aspect Ventures, Icon Ventures, Lightspeed Venture Partners, Norwest Venture Partners, Sapphire Ventures",7
SecurityScorecard,https://www.crunchbase.com/organization/security-scorecard,"Cloud Computing, Cloud Infrastructure, Cyber Security, Information Technology, Risk Management, SaaS, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2013-01-01,year,,,2019-06-13,50000000,USD,50000000,Series D,50000000,USD,50000000,Late Stage Venture,"GV, Intel Capital, Moody's Investors Service, Sequoia Capital, Two Sigma Ventures",13
Sumo Logic,https://www.crunchbase.com/organization/sumo-logic,"Analytics, Big Data, Enterprise Software, Information Technology, SaaS, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2010-01-01,year,,,2019-05-08,110000000,USD,110000000,Series G,110000000,USD,110000000,Late Stage Venture,"Battery Ventures, Sapphire Ventures, Sequoia Capital, Sutter Hill Ventures, Tiger Global Management",13
SentinelOne,https://www.crunchbase.com/organization/sentinel,"Computer, Cyber Security, Network Security, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-06-05,120000000,USD,120000000,Series D,120000000,USD,120000000,Late Stage Venture,"Accel, Insight Partners, Redpoint, The Westly Group, Tiger Global Management",14
enSilo,https://www.crunchbase.com/organization/ensilo,Cyber Security,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-08-01,month,,,2019-07-11,23500000,USD,23500000,Series B,23500000,USD,23500000,Early Stage Venture,"Counterview Capital, Lightspeed Venture Partners, O.G. Tech Ventures, Rembrandt Venture Partners, Viola Ventures",5
