Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
SafeBreach,https://www.crunchbase.com/organization/safebreach,"Cyber Security, Intrusion Detection, Network Security, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2018-05-08,15000000,USD,15000000,Series B,15000000,USD,15000000,Early Stage Venture,"Deutsche Telekom Capital Partners, DNX Ventures, Pathfinder, PayPal, Shlomo Kramer",8
Lastline,https://www.crunchbase.com/organization/lastline,"Network Security, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,,,2017-07-12,28500000,USD,28500000,Series C,28500000,USD,28500000,Late Stage Venture,"Barracuda Networks, Dell Technologies Capital, OUP (Osage University Partners), Redpoint, WatchGuard",9
Instart,https://www.crunchbase.com/organization/instart-logic,"Advertising, Cloud Computing, Cyber Security, Digital Marketing, Digital Media, Internet, Mobile, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2010-11-01,day,,,2017-11-02,30000000,USD,30000000,Series E,30000000,USD,30000000,Late Stage Venture,"Andreessen Horowitz, Greylock Partners, StartX (Stanford-StartX Fund), Sutter Hill Ventures, Tenaya Capital",12
SimpliSafe Home Security,https://www.crunchbase.com/organization/simplisafe,"Consumer Electronics, Security, Smart Home","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2006-01-01,year,2018-06-29,day,2017-07-03,,,,Secondary Market,57000000,USD,57000000,M&A,Sequoia Capital,1
Panaseer,https://www.crunchbase.com/organization/panaseer,"Big Data, Cyber Security, Enterprise Software, Information Technology","London, England, United Kingdom",European Union (EU),2014-06-01,month,,,2018-06-18,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Albion Capital Group, C5 Capital, Cisco Investments, Notion, Paladin Capital Group",11
Karamba Security,https://www.crunchbase.com/organization/karamba-security,"Automotive, Cyber Security, Software","Bloomfield Hills, Michigan, United States","Greater Detroit Area, Great Lakes, Midwestern US",2015-01-01,year,,,2018-04-10,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,"Fontinalis Partners, Liberty Mutual Strategic Ventures, Paladin Capital Group, Western Technology Investment, YL Ventures",8
Cynet,https://www.crunchbase.com/organization/cynet-2,"Computer, Cyber Security, Network Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2018-06-27,13000000,USD,13000000,Series B,13000000,USD,13000000,Early Stage Venture,"Ibex Ventures, Lazarus Israel Opportunities Fund, Norwest Venture Partners, Shlomo Kramer",4
LookingGlass Cyber Solutions,https://www.crunchbase.com/organization/lookingglass-cyber-solutions,"Cyber Security, Enterprise Software, Security","Reston, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2006-01-01,year,,,2018-05-09,9999948,USD,9999948,Venture - Series Unknown,9999948,USD,9999948,,"Alsop Louie Partners, Eastward Capital Partners, Neuberger Berman Group, NewSpring, Triangle Peak Partners",7
IdentityMind,https://www.crunchbase.com/organization/identitymind-global,"Analytics, Artificial Intelligence, Compliance, FinTech, Fraud Detection, Identity Management, Machine Learning, Risk Management, SaaS","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2017-11-14,10000000,USD,10000000,Series C,10000000,USD,10000000,Late Stage Venture,"Benhamou Global Ventures, Fortress Investment Group, FortRoss Ventures, Medici Ventures, Overstock",16
Mimecast,https://www.crunchbase.com/organization/mimecast,"Accounting, Archiving Service, Email, Information Technology, Legal, SaaS, Security","London, England, United Kingdom",European Union (EU),2003-01-01,year,2015-11-19,day,2017-10-31,403000,USD,403000,Post-IPO Equity,403000,USD,403000,IPO,"ATL Partners, Dawn Capital, Index Ventures, Insight Partners",4
Yubico,https://www.crunchbase.com/organization/yubico,"Cloud Security, Cyber Security, Hardware, Open Source, Software, Wireless","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2007-01-01,year,,,2018-05-31,,,,Venture - Series Unknown,,,,,"Andreessen Horowitz, Bure Equity AB, New Enterprise Associates, The Valley Fund",4
Saviynt,https://www.crunchbase.com/organization/saviynt,"Cloud Data Services, Enterprise Software, Security","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2010-01-01,day,,,2018-04-18,40000000,USD,40000000,Series A,40000000,USD,40000000,Early Stage Venture,Carrick Capital Partners,1
Intezer,https://www.crunchbase.com/organization/intezer,"Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",,2015-09-01,month,,,2017-10-19,8000000,USD,8000000,Series A,8000000,USD,8000000,Early Stage Venture,"Alon N. Cohen, FilesX, Intel Capital, Magma Venture Partners, Samsung NEXT",5
Virtru,https://www.crunchbase.com/organization/virtru,"Information Services, Information Technology, Security, Software","Washington, District of Columbia, United States","Washington DC Metro Area, Southern US",2012-01-01,year,,,2018-05-31,37500000,USD,37500000,Series B,37500000,USD,37500000,Early Stage Venture,"Bessemer Venture Partners, ICONIQ Capital, Jonathan Keidan, New Enterprise Associates, Samsung NEXT",11
Immuta,https://www.crunchbase.com/organization/immuta,"Analytics, Big Data, Machine Learning, Privacy, Security","College Park, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",2014-10-25,day,,,2018-06-01,20000000,USD,20000000,Series B,20000000,USD,20000000,Early Stage Venture,"Conversion Capital, Dell Technologies Capital, DFJ Growth, Drive Capital, Greycroft",11
SecureAuth,https://www.crunchbase.com/organization/secureauth,"Enterprise Software, Identity Management, Information Technology, SaaS, Security","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",2006-01-01,year,,,2017-09-20,200000000,USD,200000000,Private Equity,200000000,USD,200000000,Private Equity,"Allen Miner, K1 Investment Management, Toba Capital",3
BioCatch,https://www.crunchbase.com/organization/biocatch,"Cyber Security, FinTech, Fraud Detection, Network Security","Tel Aviv, Tel Aviv, Israel",,2011-01-01,year,,,2018-03-12,30000000,USD,30000000,Series B,30000000,USD,30000000,Early Stage Venture,"American Express Ventures, CreditEase Fintech Investment Fund, JANVEST Capital Partners, Kreos Capital, OurCrowd",8
ZingBox,https://www.crunchbase.com/organization/zingbox,"Analytics, Big Data, Cyber Security, Internet of Things, Machine Learning, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-11-11,day,,,2017-08-17,22000000,USD,22000000,Series B,22000000,USD,22000000,Early Stage Venture,"Dell Technologies Capital, Oriza Ventures, Social Starts, StartX (Stanford-StartX Fund), TSVC",11
Callsign,https://www.crunchbase.com/organization/callsign,"Artificial Intelligence, Computer, Cyber Security, Machine Learning, Network Security","London, England, United Kingdom",European Union (EU),2012-01-01,year,,,2017-07-27,35000000,USD,35000000,Series A,35000000,USD,35000000,Early Stage Venture,"Accel, AllegisCyber, Breed Reply, Qualcomm Ventures, WestWave Capital",8
