Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Shift Payments,https://www.crunchbase.com/organization/shift-payments,"Bitcoin, Cryptocurrency, Finance, Financial Services, FinTech, Personal Finance","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,2018-10-22,5600000,USD,5600000,Venture - Series Unknown,5600000,USD,5600000,,"CRCM Ventures, Kapor Capital, Nejc Kodric, Scrum Ventures, Y Combinator",5
Enjin,https://www.crunchbase.com/organization/enjin,"Content, Cryptocurrency, FinTech, Identity Management, Video Games","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2009-03-01,day,,,2017-08-28,23000000,USD,23000000,Initial Coin Offering,23000000,USD,23000000,,,
Synthetix,https://www.crunchbase.com/organization/havven,"Banking, Computer, Cryptocurrency, Software","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",2017-01-01,year,,,2018-03-01,30000000,USD,30000000,Initial Coin Offering,30000000,USD,30000000,,Synapse Capital,1
Canaan Creative,https://www.crunchbase.com/organization/canaan-creative,"Bitcoin, Electronics, Manufacturing","Beijing, Beijing, China",Asia-Pacific (APAC),2013-01-01,year,2016-06-08,day,2019-03-12,,,,Series B,,,,M&A,"Baopu Asset Management, Jinjiang International, Tunlan Investment",3
StormX,https://www.crunchbase.com/organization/stormx,"Bitcoin, Blockchain, Ethereum, Internet, Marketplace","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",2014-01-01,year,,,2017-10-05,32000000,USD,32000000,Initial Coin Offering,32000000,USD,32000000,,"9Mile Labs, Alphabit Fund, Anthony Di Iorio, Hashed, Jeff Pulver",14
RealBlocks,https://www.crunchbase.com/organization/realblocks,"Blockchain, Commercial Real Estate, Cryptocurrency, Internet, Real Estate, Real Estate Investment","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-01-01,year,,,2019-01-25,3700000,USD,3700000,Seed,3700000,USD,3700000,Seed,"Cross Culture Ventures, Morgan Creek Capital Management, Science, Techstars, Ulu Ventures",9
clearmatics,https://www.crunchbase.com/organization/clearmatics,"Blockchain, Ethereum, FinTech, Information Technology, Software Engineering","London, England, United Kingdom",European Union (EU),2015-02-06,day,,,2018-10-10,12000000,USD,12000000,Series A,12000000,USD,12000000,Early Stage Venture,"Nyca Partners, Route 66 Ventures, TNF Capital, XTX Markets",4
BitMart,https://www.crunchbase.com/organization/bitmart-exchange,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, Finance, FinTech, Internet","Grand Cayman, Midland, Cayman Islands",,2017-09-01,month,,,2018-01-16,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,,
Prime Trust,https://www.crunchbase.com/organization/prime-trust,"Banking, Blockchain, Crowdfunding, Cryptocurrency","Las Vegas, Nevada, United States",Western US,2016-04-10,day,,,2019-03-28,,,,Corporate Round,,,,,OK Group,1
DAV,https://www.crunchbase.com/organization/dav,"Autonomous Vehicles, Blockchain, Cryptocurrency, Drones, Transportation","Zug, Zug, Switzerland",,,,,,2018-06-25,24500000,USD,24500000,Initial Coin Offering,24500000,USD,24500000,,Block Crafters Capital,1
AirSwap,https://www.crunchbase.com/organization/airswap,"Blockchain, Cryptocurrency, Finance, Financial Exchanges, Financial Services, FinTech, Internet","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-01-01,year,,,2017-10-18,36000000,USD,36000000,Initial Coin Offering,36000000,USD,36000000,,,
Curv,https://www.crunchbase.com/organization/curv-5d20,"Blockchain, Cloud Computing, Cryptocurrency, Cyber Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2018-01-01,year,,,2019-02-26,6500000,USD,6500000,Seed,6500000,USD,6500000,Seed,"Digital Currency Group, Flybridge Capital Partners, Jump Capital, Team8",4
Kucoin,https://www.crunchbase.com/organization/kucoin,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Exchanges","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2013-01-01,year,,,2018-11-15,20000000,USD,20000000,Series A,20000000,USD,20000000,Early Stage Venture,"IDG Capital, Matrix Partners, NEO Global Capital (NGC)",3
