Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Mythical Games,https://www.crunchbase.com/organization/mythical-games,"Blockchain, Gaming, SaaS, Video Games","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",2018-04-01,month,,,2018-11-15,16000000,USD,16000000,Series A,16000000,USD,16000000,Early Stage Venture,"Fenbushi Capital, Galaxy Digital LP, Javelin Venture Partners, Norís Capital, OKCoin",6
Storj Labs,https://www.crunchbase.com/organization/storj,"Blockchain, Cloud Data Services, Cloud Infrastructure, Collaborative Consumption","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2014-01-01,year,,,2017-07-11,30000000,USD,30000000,Initial Coin Offering,30000000,USD,30000000,,"BnkToTheFuture, Gabriel Jarrosson, GVA Capital, Tank Stream Ventures, TechSquare Labs",8
Upland,https://www.crunchbase.com/organization/upland,"Blockchain, Gaming","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2018-07-01,month,,,2019-06-13,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"FinLab, Multiple Angels",2
EVEN,https://www.crunchbase.com/organization/even,"Blockchain, Financial Services, Information Technology, Internet, Software","Tallin, Harjumaa, Estonia",European Union (EU),2018-03-29,day,,,2018-01-10,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,,
The Sun Exchange,https://www.crunchbase.com/organization/the-sun-exchange-2,"Blockchain, Crowdfunding, Internet of Things, Peer to Peer, Solar","Cape Town, NA - South Africa, South Africa",,2015-01-01,year,,,2019-06-14,260000,USD,260000,Seed,260000,USD,260000,Seed,"Alphabit Fund, Barclays Accelerator, powered by Techstars - London, Boost VC, Powerhouse, Techstars",8
ObEN,https://www.crunchbase.com/organization/oben,"Artificial Intelligence, Augmented Reality, Big Data, Blockchain, Internet of Things, Speech Recognition, Virtual Reality","Pasadena, California, United States","Greater Los Angeles Area, West Coast, Western US",2014-02-26,day,,,2018-01-09,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,"Idealab, NewDo Venture, PreAngel, SBCVC, Tencent Holdings",20
Trillium Secure,https://www.crunchbase.com/organization/trillium-2,"Artificial Intelligence, Automotive, Blockchain, Cyber Security, Internet of Things, Security, Transportation","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2018-07-04,11000000,USD,11000000,Series A,11000000,USD,11000000,Early Stage Venture,"Airbus Ventures, Global Brain Corporation, JAFCO Japan, Mitsubishi UFJ Capital, Plug and Play",9
Authenteq,https://www.crunchbase.com/organization/authenteq,"Blockchain, Compliance, FinTech, Fraud Detection, Identity Management, Information Technology, Marketplace, Privacy","Reykjavík, Gullbringusysla, Iceland","Nordic Countries, Scandinavia",2015-06-01,day,,,2019-01-14,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"Cavalry Ventures, Draper Associates, EASME - EU Executive Agency for SMEs, Initial Capital, Startupbootcamp",8
Tradewind Markets,https://www.crunchbase.com/organization/tradewind-markets,"Blockchain, Communities, Financial Services, Information Technology","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-04-11,day,,,2018-04-24,10599984,USD,10599984,Venture - Series Unknown,10599984,USD,10599984,,Sapphire Ventures,1
Mainframe,https://www.crunchbase.com/organization/mainframe-2,"Blockchain, Collaboration, Enterprise Software, Messaging, Security","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-09-01,day,,,2018-07-04,,,,Initial Coin Offering,,,,,"BlockTower Capital, Kenetic, Kima Ventures, Techstars, Zeroth.AI",23
Core Scientific,https://www.crunchbase.com/organization/core-scientific,"Artificial Intelligence, Blockchain, Software","Bellevue, Washington, United States","Greater Seattle Area, West Coast, Western US",2017-01-01,year,,,2018-03-05,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,,
Evernym,https://www.crunchbase.com/organization/evernym,"Blockchain, Information Services, Information Technology, Software","Draper, Utah, United States",Western US,2013-01-01,year,,,2018-11-01,,,,Series A,,,,Early Stage Venture,"Alumni Ventures Group, AVG Blockchain Fund, Blockwall Management GmbH, Kosmos Capital, Total Access Fund",5
Dorae,https://www.crunchbase.com/organization/dorae,"Blockchain, Information Services, Supply Chain Management","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-01-01,year,,,2019-01-08,50000000,USD,50000000,Series B,50000000,USD,50000000,Early Stage Venture,Aethel Partners,1
TradeIX,https://www.crunchbase.com/organization/tradeix,"Blockchain, Information Services, Information Technology","London, England, United Kingdom",European Union (EU),2015-08-22,day,,,2018-06-21,16000000,USD,16000000,Series A,16000000,USD,16000000,Early Stage Venture,"BNP Paribas Private Equity, ING Ventures, Kistefos Venture Capital, Tech Mahindra",4
Ternio,https://www.crunchbase.com/organization/ternio,"Advertising Platforms, Blockchain, Credit Cards","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-12-01,month,,,2018-09-19,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,,
Bison Trails,https://www.crunchbase.com/organization/bison-trails,"Blockchain, Infrastructure, Internet, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",2018-10-01,month,,,2018-11-30,5250000,USD,5250000,Seed,5250000,USD,5250000,Seed,"Accomplice, Distributed Global, Homebrew, Initialized Capital, Notation Capital",8
XYO,https://www.crunchbase.com/organization/xyo-network,"Blockchain, Consumer Electronics, Information Technology, Internet, Internet of Things, Location Based Services, Mining Technology, Wireless","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",2017-01-01,year,,,2018-03-20,13635000,USD,13635000,Initial Coin Offering,13635000,USD,13635000,,Arthur Iinuma,1
ShipChain,https://www.crunchbase.com/organization/shipchain,"Blockchain, Logistics, Supply Chain Management","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2017-05-01,day,,,2018-01-08,30000000,USD,30000000,Venture - Series Unknown,30000000,USD,30000000,,,
Aion Network,https://www.crunchbase.com/organization/the-aion-network,"Blockchain, Information Services, Information Technology","Toronto, Ontario, Canada",Great Lakes,2017-01-01,year,,,2017-10-09,22000000,USD,22000000,Initial Coin Offering,22000000,USD,22000000,,Andreas Schwartz,1
"Fluree, PBC",https://www.crunchbase.com/organization/fluree-pbc,"Apps, Blockchain, Information Technology","Winston Salem, North Carolina, United States","East Coast, Southern US",2017-01-01,day,,,2019-06-03,4730000,USD,4730000,Seed,4730000,USD,4730000,Seed,"4490 Ventures, Revolution",2
Elixxir,https://www.crunchbase.com/organization/elixxir-io,"Blockchain, Developer Platform, Messaging, Payments","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2017-01-01,year,,,2018-10-24,8500000,USD,8500000,Seed,8500000,USD,8500000,Seed,Chris Larsen,1
globaliD,https://www.crunchbase.com/organization/global-id,"Blockchain, Consumer Lending, Identity Management, Mobile Apps, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-01-01,year,,,2018-07-09,6000000,USD,6000000,Series A,6000000,USD,6000000,Early Stage Venture,"500 Startups, Arbor Ventures, Camp One Ventures, Hard Yaka, Monex Ventures",6
Solidus Labs,https://www.crunchbase.com/organization/solidus-labs,"Analytics, Big Data, Blockchain, Financial Services, Machine Learning","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-12-01,month,,,2019-02-20,3500000,USD,3500000,Seed,3500000,USD,3500000,Seed,"David Krell, Global Founders Capital, Hanaco Venture Capital, Norman Sorensen",4
Celer Network,https://www.crunchbase.com/organization/celer-network,"Blockchain, FinTech","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2018-01-01,year,,,2019-03-24,2100000,USD,2100000,Seed,2100000,USD,2100000,Seed,"BlockVC, Chain Capital, Consensus Lab, Elysium Venture Capital, MW Partners",6
Electron,https://www.crunchbase.com/organization/electron,"Blockchain, Energy, Infrastructure, Software","London, England, United Kingdom",European Union (EU),2015-11-01,month,,,2019-03-13,,,,Corporate Round,,,,,"Kaluza, SYSTEMIQ, Tokyo Electric Power",3
Figure,https://www.crunchbase.com/organization/figure-66e9,"Artificial Intelligence, Blockchain, Finance, Financial Services, FinTech","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-01-01,day,,,2019-07-15,20000000,USD,20000000,Initial Coin Offering,20000000,USD,20000000,,"CreditEase Fintech Investment Fund, DST Global, Mithril Capital Management, Ribbit Capital, Ulu Ventures",14
