Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Route4Gas,https://www.crunchbase.com/organization/route4gas,"Big Data, Energy, Information Technology, Oil and Gas, Privacy","The Hague, Zuid-Holland, The Netherlands",European Union (EU),2017-03-15,day,,,2018-11-30,3500000,EUR,3961471,Seed,3500000,EUR,3961471,Seed,,
Protocol Labs,https://www.crunchbase.com/organization/protocol-labs,"Information Technology, Internet, Network Security, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-01-01,year,,,2017-09-16,,,,Venture - Series Unknown,,,,,"Boost VC, Haystack, StartX (Stanford-StartX Fund), Techammer, Y Combinator",11
DataGrail,https://www.crunchbase.com/organization/datagrail,"Big Data, Legal, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-02-01,month,,,2018-09-20,4000000,USD,4000000,Series A,4000000,USD,4000000,Early Stage Venture,"Bob Spinner, Clarence So, Cloud Apps Capital Partners, Gunderson Dettmer, Peter Kazanjy",5
Integris Software,https://www.crunchbase.com/organization/integris-software,"Big Data, Business Intelligence, Privacy, Risk Management, Security","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",2016-02-01,month,,,2018-07-12,10041053,USD,10041053,Series A,10041053,USD,10041053,Early Stage Venture,"Amplify Partners, Aspect Ventures, Family Angel Management Fund, Ignition Partners, Madrona Venture Group",7
Transcend,https://www.crunchbase.com/organization/transcend,"Compliance, IT Infrastructure, Privacy, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,,,2019-04-04,3950000,USD,3950000,Seed,3950000,USD,3950000,Seed,"122WEST VENTURES, Accel, South Park Commons",3
Authenteq,https://www.crunchbase.com/organization/authenteq,"Blockchain, Compliance, FinTech, Fraud Detection, Identity Management, Information Technology, Marketplace, Privacy","Reykjavík, Gullbringusysla, Iceland","Nordic Countries, Scandinavia",2015-06-01,day,,,2019-01-14,5000000,USD,5000000,Series A,5000000,USD,5000000,Early Stage Venture,"Cavalry Ventures, Draper Associates, EASME - EU Executive Agency for SMEs, Initial Capital, Startupbootcamp",8
CryptoNumerics,https://www.crunchbase.com/organization/cryptonumerics,"Analytics, Artificial Intelligence, Information Technology, Machine Learning, Privacy, Software","Toronto, Ontario, Canada",Great Lakes,2018-04-01,month,,,2019-03-13,3300000,CAD,2481029,Seed,3300000,CAD,2481029,Seed,"11.2 Capital, Creative Destruction Lab, Data Capital Management, Lux Capital",4
NuCypher,https://www.crunchbase.com/organization/nucypher,"Blockchain, Cyber Security, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-03-19,day,,,2017-12-12,4400000,USD,4400000,Venture - Series Unknown,4400000,USD,4400000,,"Compound, Creative Destruction Lab, Kenetic, Polychain, Y Combinator",17
Siilo,https://www.crunchbase.com/organization/siilo,"Collaboration, Compliance, Enterprise, Health Care, Messaging, Privacy, Real Time, Social Media","Amsterdam, Noord-Holland, The Netherlands",European Union (EU),2016-01-01,day,,,2018-10-04,4500000,EUR,5182671,Seed,4500000,EUR,5182671,Seed,EQT Ventures,1
Trustify,https://www.crunchbase.com/organization/trustify,"Apps, Business Intelligence, Fraud Detection, Identity Management, Law Enforcement, Marketplace, Privacy, Security","Arlington, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2015-04-01,day,,,2018-08-23,2986077,USD,2986077,Venture - Series Unknown,2986077,USD,2986077,,"500 Startups, Carthona Capital, Lowercase Capital, Plum Alley, SeedInvest",10
