Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Lastline,https://www.crunchbase.com/organization/lastline,"Network Security, Security","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,,,2017-07-12,28500000,USD,28500000,Series C,28500000,USD,28500000,Late Stage Venture,"Barracuda Networks, Dell Technologies Capital, OUP (Osage University Partners), Redpoint, WatchGuard",9
Verodin,https://www.crunchbase.com/organization/verodin,"Cloud Security, Compliance, Cyber Security, Intrusion Detection, Network Security, Penetration Testing, Security, Software","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2014-01-01,year,2019-05-28,day,2018-06-28,21000000,USD,21000000,Series B,21000000,USD,21000000,M&A,"Bessemer Venture Partners, Capital One Growth Ventures, Citi Ventures, Crosslink Capital, TenEleven Ventures",8
Attivo Networks,https://www.crunchbase.com/organization/attivo-networks,"Computer, Network Security, Software","Fremont, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,,,2019-03-21,,,,Series C,,,,Late Stage Venture,"Bain Capital, Bain Capital Ventures, Energy Impact Partners, Omidyar Technology Ventures, Singtel Innov8",8
CloudMinds,https://www.crunchbase.com/organization/cloudminds,"Artificial Intelligence, Cloud Computing, Computer, Machine Learning, Network Security, Robotics, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-01-01,day,,,2019-02-23,186000000,USD,186000000,Series B,186000000,USD,186000000,Early Stage Venture,"Foxconn Technology Group, Keytone Ventures, SoftBank, Walden International",4
BitGo,https://www.crunchbase.com/organization/bitgo,"Bitcoin, E-Commerce, Financial Services, Internet, Network Security","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-04-01,,,,Series B,,,,Early Stage Venture,"Blockchain Capital, Founders Fund, Galaxy Digital LP, Redpoint, Valor Equity Partners",19
Tongdun Technology,https://www.crunchbase.com/organization/tongdun-technology,"Internet, Network Security, Software","Hangzhou, Zhejiang, China",Asia-Pacific (APAC),2013-10-01,month,,,2019-04-25,100000000,USD,100000000,Series D,100000000,USD,100000000,Late Stage Venture,"China Growth Capital | CGC, China Merchants Capital, GGV Capital, IDG Capital, Qiming Venture Partners",12
Cynet,https://www.crunchbase.com/organization/cynet-2,"Computer, Cyber Security, Network Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2018-06-27,13000000,USD,13000000,Series B,13000000,USD,13000000,Early Stage Venture,"Ibex Investors, Norwest Venture Partners, Shlomo Kramer",3
Zimperium,https://www.crunchbase.com/organization/zimperium,"Apps, Enterprise Software, Machine Learning, Mobile, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-08-01,day,,,2018-11-16,12000000,USD,12000000,Series E,12000000,USD,12000000,Late Stage Venture,"Samsung NEXT, Sierra Ventures, SoftBank, Warburg Pincus",9
BehavioSec,https://www.crunchbase.com/organization/behaviosec,"Biometrics, FinTech, Fraud Detection, Network Security, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2007-01-01,year,,,2018-01-29,17500000,USD,17500000,Series B,17500000,USD,17500000,Early Stage Venture,"ABN AMRO Digital Impact Fund, Cisco Investments, Conor Venture Partners, Northzone, Octopus Ventures",11
CyberMDX,https://www.crunchbase.com/organization/cybermdx,"Artificial Intelligence, Cyber Security, Enterprise Software, Health Care, Medical Device, Network Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2017-01-01,year,,,2018-07-17,10000000,USD,10000000,Series A,10000000,USD,10000000,Early Stage Venture,"Firstminute Capital, Pitango Venture Capital, Qure Ventures",3
