Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
Recorded Future,"Analytics, Cyber Security, Machine Learning, Real Time","Somerville, Massachusetts, United States",25000000.0,Series E,25000000.0,M&A,8.0,2009.0,2017-10,20174Q,Balderton Capital, GV, IA Ventures, Insight Partners, MassMutual Ventures,Greater Boston Area, East Coast, New England
Bitdefender,"Cloud Security, Cyber Security, Network Security, Software","Bucharest, Bucuresti, Romania",180000000.0,Secondary Market,7000000.0,,3.0,2001.0,2017-12,20174Q,Balkan Accession Fund, Romanian-American Enterprise Fund, Vitruvian Partners,,,European Union (EU),,
Duo Security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, SaaS","Ann Arbor, Michigan, United States",70000000.0,Series D,70000000.0,M&A,12.0,2009.0,2017-10,20174Q,GV, Index Ventures, Redpoint, True Ventures, Workday,Great Lakes, Midwestern US,
ForgeRock,"Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy","San Francisco, California, United States",88000000.0,Series D,88000000.0,Late Stage Venture,4.0,2010.0,2017-09,20173Q,Accel, Foundation Capital, Kohlberg Kravis Roberts, Meritech Capital Partners,,San Francisco Bay Area, West Coast, Western US
Threat Stack,"Cloud Security, SaaS, Security","Boston, Massachusetts, United States",45000000.0,Series C,45000000.0,Late Stage Venture,8.0,2012.0,2017-09,20173Q,Atlas Venture, Eight Roads Ventures, Right Side Capital Management, Scale Venture Partners, Techstars,Greater Boston Area, East Coast, New England
Skybox Security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security, Software","San Jose, California, United States",150000000.0,Private Equity,150000000.0,Private Equity,14.0,2002.0,2017-10,20174Q,CVC Capital Partners, Lightspeed Venture Partners, Providence Equity Partners, Rembrandt Venture Partners, Susquehanna Growth Equity,San Francisco Bay Area, Silicon Valley, West Coast
Huobi,"Bitcoin, Blockchain, Cryptocurrency, FinTech","Singapore, Central Region, Singapore",1000000.0,Initial Coin Offering,1000000.0,,1.0,2013.0,2017-11,20174Q,Node Capital,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Bitwise Asset Management,"Blockchain, Cryptocurrency, Financial Services, Software","San Francisco, California, United States",4000000.0,Seed,4000000.0,Seed,15.0,2017.0,2017-12,20174Q,Blockchain Capital, Collaborative Fund, Elad Gil, General Catalyst, Khosla Ventures,San Francisco Bay Area, West Coast, Western US
Instart,"Advertising, Cloud Computing, Cyber Security, Digital Marketing, Digital Media, Internet, Mobile, Software","Palo Alto, California, United States",30000000.0,Series E,30000000.0,Late Stage Venture,12.0,2010.0,2017-11,20174Q,Andreessen Horowitz, Greylock Partners, StartX (Stanford-StartX Fund), Sutter Hill Ventures, Tenaya Capital,San Francisco Bay Area, Silicon Valley, West Coast
Lastline,"Network Security, Security","Redwood City, California, United States",28500000.0,Series C,28500000.0,Late Stage Venture,9.0,2011.0,2017-07,20173Q,Barracuda Networks, Dell Technologies Capital, OUP (Osage University Partners), Redpoint, WatchGuard,San Francisco Bay Area, Silicon Valley, West Coast
Intezer,"Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",8000000.0,Series A,8000000.0,Early Stage Venture,5.0,2015.0,2017-10,20174Q,Alon N. Cohen, FilesX, Intel Capital, Magma Venture Partners, Samsung NEXT,,,
Flashpoint,"Business Intelligence, Cyber Security, Information Technology, Security, Software, Telecommunications","New York, New York, United States",28000000.0,Series C,28000000.0,Late Stage Venture,9.0,2010.0,2017-07,20173Q,Bloomberg Beta, Georgian Partners, Greycroft, Jump Capital, K2 Intelligence,Greater New York Area, East Coast, Northeastern US
IdentityMind,"Analytics, Artificial Intelligence, Compliance, FinTech, Fraud Detection, Identity Management, Machine Learning, Risk Management, SaaS","Palo Alto, California, United States",10000000.0,Series C,10000000.0,Late Stage Venture,16.0,2013.0,2017-11,20174Q,Benhamou Global Ventures, Fortress Investment Group, FortRoss Ventures, Medici Ventures, Overstock,San Francisco Bay Area, Silicon Valley, West Coast
Airfox,"Cryptocurrency, Financial Services, FinTech, Mobile, Wireless","Boston, Massachusetts, United States",15000000.0,Initial Coin Offering,15000000.0,,7.0,2016.0,2017-10,20174Q,LaunchCapital, Project 11 Ventures, Right Side Capital Management, Techstars, Techstars Boston Accelerator,Greater Boston Area, East Coast, New England
Mimecast,"Accounting, Archiving Service, Email, Information Technology, Legal, SaaS, Security","London, England, United Kingdom",403000.0,Post-IPO Equity,403000.0,IPO,4.0,2003.0,2017-10,20174Q,ATL Partners, Dawn Capital, Index Ventures, Insight Partners,,European Union (EU),,
SecureAuth,"Enterprise Software, Identity Management, Information Technology, SaaS, Security","Irvine, California, United States",200000000.0,Private Equity,200000000.0,Private Equity,3.0,2006.0,2017-09,20173Q,Allen Miner, K1 Investment Management, Toba Capital,,,Greater Los Angeles Area, West Coast, Western US
Callsign,"Artificial Intelligence, Computer, Cyber Security, Machine Learning, Network Security","London, England, United Kingdom",35000000.0,Series A,35000000.0,Early Stage Venture,8.0,2012.0,2017-07,20173Q,Accel, AllegisCyber, Breed Reply, Qualcomm Ventures, WestWave Capital,European Union (EU),,
ZingBox,"Analytics, Big Data, Cyber Security, Internet of Things, Machine Learning, Security","Mountain View, California, United States",22000000.0,Series B,22000000.0,Early Stage Venture,11.0,2014.0,2017-08,20173Q,Dell Technologies Capital, Oriza Ventures, Social Starts, StartX (Stanford-StartX Fund), TSVC,San Francisco Bay Area, Silicon Valley, West Coast
LATOKEN,"Blockchain, Finance, Financial Exchanges, Financial Services, Real Estate","London, England, United Kingdom",18000000.0,Initial Coin Offering,18000000.0,,,2017.0,2017-10,20174Q,,,,,,European Union (EU),,
ZeroFOX,"Network Security, Security, Social Media","Baltimore, Maryland, United States",40000000.0,Series C,40000000.0,Late Stage Venture,17.0,2013.0,2017-07,20173Q,ClearSlide, Frank A. Bonsal, Jr., Highland Capital Partners, NEA,Greater Baltimore-Maryland Area, East Coast, Southern US
Big Switch Networks,"Data Center, Information Technology, Network Security, Software","Santa Clara, California, United States",30700000.0,Venture - Series Unknown,30700000.0,,12.0,2010.0,2017-07,20173Q,Greylock Partners, Index Ventures, Intel Capital, Khosla Ventures, Redpoint,San Francisco Bay Area, Silicon Valley, West Coast
Quoine,"Bitcoin, Cryptocurrency, Financial Services, FinTech","Tokyo, Tokyo, Japan",105000000.0,Initial Coin Offering,105000000.0,,2.0,2014.0,2017-11,20174Q,8 Decimal Capital, JAFCO Asia,,,,Asia-Pacific (APAC),,
Securonix,"Artificial Intelligence, Cyber Security","Los Angeles, California, United States",29000000.0,Series A,29000000.0,Early Stage Venture,2.0,2008.0,2017-09,20173Q,Eight Roads Ventures, Volition Capital,,,,Greater Los Angeles Area, West Coast, Western US
Convercent,"Compliance, Information Technology, Risk Management, Software, Telecommunications","Denver, Colorado, United States",25000000.0,Series E,25000000.0,Late Stage Venture,7.0,2013.0,2017-12,20174Q,Azure Capital Partners, Rho Ventures, Sapphire Ventures, Tola Capital, Trinity Capital Investment,Greater Denver Area, Western US,
Awake Security,"Cloud Security, Cyber Security, Network Security, Security","Santa Clara, California, United States",30000000.0,Venture - Series Unknown,30000000.0,,3.0,2014.0,2017-07,20173Q,Bain Capital Ventures, Greylock Partners, Three Tree Ventures,,,San Francisco Bay Area, Silicon Valley, West Coast
Cardano Foundation,"Application Performance Management, Bitcoin, Consumer Applications, Cryptocurrency, Developer APIs, Open Source","Zug, Zug, Switzerland",10000.0,Initial Coin Offering,10000.0,,1.0,2016.0,2018-01,20181Q,Julian Sarokin,,,,,,,
NeuVector,"Computer, Network Security","San Jose, California, United States",7000000.0,Series A,7000000.0,Early Stage Venture,3.0,2015.0,2017-11,20174Q,Fusion Fund, HWVP, Hummer Winblad Venture Partners, TSVC,,San Francisco Bay Area, Silicon Valley, West Coast
HYPR,"Cyber Security, Identity Management, Mobile, Security","New York, New York, United States",10000000.0,Series A,10000000.0,Early Stage Venture,6.0,2014.0,2017-10,20174Q,Boldstart Ventures, MasterCard, RRE Ventures, RTP Ventures, Samsung NEXT,Greater New York Area, East Coast, Northeastern US
ThreatQuotient,"Cyber Security, Network Security, Security","Reston, Virginia, United States",30000000.0,Series C,30000000.0,Late Stage Venture,11.0,2013.0,2017-11,20174Q,Adams Street Partners, Cisco Investments, New Enterprise Associates, NTT DOCOMO Ventures, Silicon Valley Bank,Washington DC Metro Area, East Coast, Southern US
PayStand,"B2B, Billing, Bitcoin, FinTech, Payments, SaaS","Scotts Valley, California, United States",6000000.0,Series A,6000000.0,Early Stage Venture,10.0,2013.0,2017-11,20174Q,BlueRun Ventures, Cervin Ventures, Serra Ventures, Signatures Capital, Streamlined Ventures,San Francisco Bay Area, West Coast, Western US
Cashaa,"Banking, Bitcoin, Blockchain, Cryptocurrency, FinTech, Payments, Small and Medium Businesses","London, England, United Kingdom",18770000.0,Initial Coin Offering,18770000.0,,3.0,2016.0,2017-11,20174Q,2F Capital Ltd, Celestial Holdings, Level39,,,European Union (EU),,
Elliptic,"Bitcoin, Blockchain, Finance","London, England, United Kingdom",5000000.0,Undisclosed,5000000.0,,9.0,2013.0,2017-12,20174Q,Octopus Ventures, Paladin Capital Group, Santander InnoVentures, Seedcamp, SignalFire,European Union (EU),,
Kyber Network,"Cryptocurrency, Finance, Payments","Singapore, Central Region, Singapore",60000000.0,Initial Coin Offering,60000000.0,,8.0,2017.0,2017-09,20173Q,8 Decimal Capital, Amino Capital, Chain Capital, Hashed, Kenetic,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Crypterium,"Banking, Blockchain, Cryptocurrency, FinTech, Internet","Tallinn, Harjumaa, Estonia",51600000.0,Initial Coin Offering,51600000.0,,,2017.0,2017-12,20174Q,,,,,,European Union (EU),,
HyTrust,"Cyber Security, Infrastructure, Security, Software","Mountain View, California, United States",36000000.0,Series E,36000000.0,Late Stage Venture,14.0,2007.0,2017-07,20173Q,Advance Venture Partners, Fortinet, Intel, Intel Capital, VMware,San Francisco Bay Area, Silicon Valley, West Coast
Upstream Security,"Autonomous Vehicles, Cyber Security, Machine Learning","Herzliya, Tel Aviv, Israel",9000000.0,Series A,9000000.0,Early Stage Venture,4.0,2017.0,2017-12,20174Q,CRV, Glilot Capital Partners, Israeli Founders, Maniv Mobility,,,,
FRISS,"Compliance, Cyber Security, Fraud Detection, Information Technology, InsurTech, Risk Management, SaaS, Security, Software","Utrecht, Utrecht, The Netherlands",17613758.0,Series A,17613758.0,Early Stage Venture,2.0,2006.0,2017-12,20174Q,Aquiline Technology Growth, BlackFin Capital Partners,,,,European Union (EU),,
Ripio,"Bitcoin, Finance, FinTech, Lending, Mobile Payments, Payments","San Francisco, California, United States",37000000.0,Initial Coin Offering,37000000.0,,23.0,2013.0,2017-10,20174Q,Barry Silbert, Draper Associates, FundersClub, Pantera Capital, Tim Draper,San Francisco Bay Area, West Coast, Western US
EclecticIQ,"Cyber Security, Fraud Detection, Risk Management, Security, Software","Amsterdam, Noord-Holland, The Netherlands",16304968.0,Series B,16304968.0,Early Stage Venture,3.0,2014.0,2017-11,20174Q,INKEF Capital, Keen Venture Partners, KPN Ventures,,,European Union (EU),,
Zeetta Networks,"Content Delivery Network, Information Technology, Internet of Things, Network Hardware, Network Security, Smart Building, Smart Home, Software, Telecommunications, Wireless","Bristol, Bristol, City of, United Kingdom",2084234.0,Seed,2084234.0,Seed,3.0,2015.0,2017-07,20173Q,Bloc Ventures, Breed Reply, IP Group Plc,,,European Union (EU),,
ShieldX Networks,"Cloud Security, Information Technology, Security","San Jose, California, United States",25000000.0,Series B,25000000.0,Early Stage Venture,6.0,2015.0,2017-12,20174Q,Ashar Aziz, Aspect Ventures, Bain Capital Ventures, Dimension Data, FireEye,San Francisco Bay Area, Silicon Valley, West Coast
REAN Cloud,"Cloud Security, Compliance, Consulting, CRM, Information Technology, Legal, Software","Herndon, Virginia, United States",10000000.0,Venture - Series Unknown,10000000.0,M&A,2.0,2013.0,2017-07,20173Q,BV Investment Partners, TriCore Solutions,,,,Washington DC Metro Area, East Coast, Southern US
Storj Labs,"Blockchain, Cloud Data Services, Cloud Infrastructure, Collaborative Consumption","Atlanta, Georgia, United States",30000000.0,Initial Coin Offering,30000000.0,,8.0,2014.0,2017-07,20173Q,BnkToTheFuture, Gabriel Jarrosson, GVA Capital, Tank Stream Ventures, TechSquare Labs,Greater Atlanta Area, East Coast, Southern US
Versive,"Analytics, Artificial Intelligence, Big Data, Cyber Security, Machine Learning, Predictive Analytics","Seattle, Washington, United States",12700000.0,Series C,12700000.0,M&A,10.0,2012.0,2017-08,20173Q,Bank of America Merrill Lynch, Bloomberg Beta, Formation 8, Goldman Sachs, Madrona Venture Group,Greater Seattle Area, West Coast, Western US
Filecoin,"Bitcoin, Data Storage","Palo Alto, California, United States",205800000.0,Initial Coin Offering,205800000.0,,20.0,2014.0,2017-09,20173Q,Andreessen Horowitz, Haystack, Sequoia Capital, Union Square Ventures, Y Combinator,San Francisco Bay Area, Silicon Valley, West Coast
Luno,"Cryptocurrency, Financial Services, Virtual Currency","London, England, United Kingdom",9000000.0,Series B,9000000.0,Early Stage Venture,6.0,2013.0,2017-09,20173Q,Ariadne Capital Limited, Balderton Capital, Digital Currency Group, PayU, Venturra Capital,European Union (EU),,
Electroneum,"Cryptocurrency, Financial Services, Mobile Payments","Maidstone, Kent, United Kingdom",40000000.0,Initial Coin Offering,40000000.0,,1.0,2016.0,2017-11,20174Q,Nio Pomilia,,,,,European Union (EU),,
Insight Engines,"Big Data, Cyber Security, Enterprise Software, Information Technology, Natural Language Processing","San Francisco, California, United States",15800000.0,Series A,15800000.0,Early Stage Venture,7.0,2015.0,2017-07,20173Q,August Capital, Data Collective DCVC, Erik Swan, Real Ventures, Splunk,San Francisco Bay Area, West Coast, Western US
Enigma,"Big Data, Cloud Data Services, Security","San Francisco, California, United States",45000000.0,Initial Coin Offering,45000000.0,,3.0,2015.0,2017-09,20173Q,CVP Management, Flybridge Capital Partners, Plug and Play Insurtech,,,San Francisco Bay Area, West Coast, Western US
Gem,"Cryptocurrency, FinTech, Health Care, Internet, Security, Software","Venice, California, United States",7957493.0,Series A,7957493.0,Early Stage Venture,23.0,2013.0,2017-09,20173Q,Blockchain Capital, First Round Capital, Pelion Venture Partners, RRE Ventures, Wavemaker Partners,Greater Los Angeles Area, West Coast, Western US
ACL Services,"Analytics, Big Data, Compliance, Enterprise Software, Fraud Detection, Risk Management, SaaS","Vancouver, British Columbia, Canada",50000000.0,Corporate Round,50000000.0,,1.0,1987.0,2017-12,20174Q,Norwest Venture Partners,,,,,,,
UTRUST,"Cryptocurrency, FinTech, Information Technology, Mobile Payments, Payments","Zürich, Zurich, Switzerland",21000000.0,Initial Coin Offering,21000000.0,,2.0,2017.0,2017-11,20174Q,Andreas Schwartz, Henry Rouquairol,,,,,,
"MagicCube, Inc.","Artificial Intelligence, Cloud Security, Cyber Security, Internet of Things, Mobile Payments, Network Security, Point of Sale","Santa Clara, California, United States",8500000.0,Series A,8500000.0,Early Stage Venture,8.0,2014.0,2017-08,20173Q,Bold Capital Partners, NTT Data, Silicon Valley Bank, Social Starts, Visa,San Francisco Bay Area, Silicon Valley, West Coast
Cyren,"Information Technology, Security","Mclean, Virginia, United States",19600000.0,Post-IPO Equity,19600000.0,IPO,3.0,1991.0,2017-11,20174Q,Go2Net, Vulcan, Warburg Pincus,,,Washington DC Metro Area, East Coast, Southern US
ReversingLabs,"Cyber Security, Mobile, Security","Cambridge, Massachusetts, United States",25000000.0,Series A,25000000.0,Early Stage Venture,3.0,2009.0,2017-11,20174Q,ForgePoint Capital, In-Q-Tel, JP Morgan Chase,,,Greater Boston Area, East Coast, New England
HashCash Consultants,"Blockchain, Cryptocurrency, Internet, Software","Fremont, California, United States",125000000.0,Series B,125000000.0,Early Stage Venture,,2015.0,2017-09,20173Q,,,,,,San Francisco Bay Area, Silicon Valley, West Coast
Prevoty,"Cyber Security, Developer Tools, Information Technology, Security","Los Angeles, California, United States",13000000.0,Series B,13000000.0,M&A,12.0,2013.0,2017-12,20174Q,Core Ventures Group, Daher Capital, digi Ventures, Plus Capital, U.S. Venture Partners (USVP),Greater Los Angeles Area, West Coast, Western US
Enjin,"Content, Cryptocurrency, FinTech, Identity Management, Video Games","Singapore, Central Region, Singapore",23000000.0,Initial Coin Offering,23000000.0,,,2009.0,2017-08,20173Q,,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Noonlight,"Apps, Mobile, Personal Health, Public Safety, Security, Smart Home, Wellness","Santa Monica, California, United States",4200000.0,Seed,4200000.0,Seed,6.0,2013.0,2017-08,20173Q,Aspect Ventures, Cultivation Capital, Maveron, New Enterprise Associates, Service Provider Capital,Greater Los Angeles Area, West Coast, Western US
Bastille Networks Internet Security,"Cyber Security, Internet of Things, Security","San Francisco, California, United States",27000000.0,Series B,27000000.0,Early Stage Venture,9.0,2014.0,2017-09,20173Q,Bessemer Venture Partners, Chris Rouland, City National Bank, David Cowan, Tom Noonan,San Francisco Bay Area, West Coast, Western US
StormX,"Bitcoin, Blockchain, Ethereum, Internet, Marketplace","Seattle, Washington, United States",32000000.0,Initial Coin Offering,32000000.0,,14.0,2014.0,2017-10,20174Q,9Mile Labs, Alphabit Fund, Anthony Di Iorio, Hashed, Jeff Pulver,Greater Seattle Area, West Coast, Western US
Argonne National Laboratory,"Energy, Security, Social Impact","Lemont, Illinois, United States",19700000.0,Grant,,,1.0,1946.0,2017-10,20174Q,US Department of Energy,,,,,Greater Chicago Area, Great Lakes, Midwestern US
Cavirin Systems,"Cloud Computing, Cloud Security, Compliance, Developer APIs, Security","Santa Clara, California, United States",8000000.0,Undisclosed,8000000.0,,1.0,2012.0,2018-01,20181Q,SRA Holdings,,,,,San Francisco Bay Area, Silicon Valley, West Coast
Nok Nok Labs,"Computer, Network Security, Security","Palo Alto, California, United States",8000000.0,Series D,8000000.0,Late Stage Venture,12.0,2011.0,2017-07,20173Q,DCM Ventures, Lenovo, Motorola Solutions Venture Capital, ONSET Ventures, Thundersoft,San Francisco Bay Area, Silicon Valley, West Coast
AirSwap,"Blockchain, Cryptocurrency, Finance, Financial Exchanges, Financial Services, FinTech, Internet","Brooklyn, New York, United States",36000000.0,Initial Coin Offering,36000000.0,,,2017.0,2017-10,20174Q,,,,,,Greater New York Area, East Coast, Northeastern US
Aion Network,"Blockchain, Information Services, Information Technology","Toronto, Ontario, Canada",22000000.0,Initial Coin Offering,22000000.0,,1.0,2017.0,2017-10,20174Q,Andreas Schwartz,,,,,Great Lakes,,
ClearBlade,"Cloud Computing, Cyber Security, Enterprise Software, Internet of Things, Software","Austin, Texas, United States",3000000.0,Series A,3000000.0,Early Stage Venture,41.0,2007.0,2017-09,20173Q,Ben Lamm, Brett Hurt, Capital Factory, Hypergiant, Phunware,Southern US,,
ShoCard,"Identity Management, Mobile","Cupertino, California, United States",4000000.0,Series A,4000000.0,Early Stage Venture,8.0,2015.0,2017-08,20173Q,AME Cloud Ventures, Correlation Ventures, Digital Currency Group, Morado Ventures, Storm Ventures,San Francisco Bay Area, Silicon Valley, West Coast
Horangi,"Cyber Security, SaaS, Security","Singapore, Central Region, Singapore",3100000.0,Series A,3100000.0,Early Stage Venture,6.0,2016.0,2017-11,20174Q,500 Startups, 6 degrees Ventures, Hub Ventures Fund, Monk’s Hill Ventures, Right Click Capital,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Treasury Intelligence Solutions,"Big Data, Business Intelligence, Cloud Computing, Cloud Security, Enterprise Software, Payments, SaaS, Software","Walldorf, Baden-Wurttemberg, Germany",12000000.0,Series C,12000000.0,Late Stage Venture,4.0,2010.0,2017-11,20174Q,83North, Harbert European Growth Capital, Target Partners, Zobito,,European Union (EU),,
NodeSource,"Application Performance Management, Cloud Infrastructure, Cloud Security, Cyber Security, Enterprise Software, Information Technology, Open Source, Software","San Francisco, California, United States",17500000.0,Series B,17500000.0,Early Stage Venture,7.0,2014.0,2017-12,20174Q,Crosslink Capital, Hack VC, Industry Ventures, RRE Ventures, Silicon Valley Bank,San Francisco Bay Area, West Coast, Western US
UVeye,"Consumer Electronics, Security, Transportation","New York, New York, United States",4500000.0,Seed,4500000.0,Seed,2.0,2016.0,2017-07,20173Q,Ahaka Capital, SeedIL Ventures,,,,Greater New York Area, East Coast, Northeastern US
SCADAfence,"Cyber Security, Homeland Security, Network Security, Security","Tel Aviv, Tel Aviv, Israel",10000000.0,Series A,10000000.0,Early Stage Venture,8.0,2014.0,2017-11,20174Q,iAngels, Jerusalem Venture Partners (JVP), Microsoft ScaleUp Tel Aviv, NexStar Partners, Vestel Ventures,,,
Blockstream,"Bitcoin, Computer, Cryptocurrency, Data Storage, FinTech","Victoria, British Columbia, Canada",25000000.0,Undisclosed,25000000.0,,25.0,2014.0,2017-11,20174Q,AngelList, Blockchain Capital, Pegasus Tech Ventures, Real Ventures, Tencent Holdings,,,
Entefy,"Artificial Intelligence, Big Data, Internet of Things, Machine Learning, Mobile, Search Engine, Security","Palo Alto, California, United States",8000000.0,Series A,8000000.0,Early Stage Venture,,2012.0,2017-07,20173Q,,,,,,San Francisco Bay Area, Silicon Valley, West Coast
SmartContract,"Document Management, Finance, Financial Services, Security, Software","San Francisco, California, United States",32000000.0,Initial Coin Offering,32000000.0,,4.0,,2017-09,20173Q,Andreas Schwartz, Data Collective DCVC, Limitless Crypto Investments, Nirvana Capital,,San Francisco Bay Area, West Coast, Western US
Sensay,"Artificial Intelligence, Blockchain, Messaging, Mobile","Venice, California, United States",15000000.0,Initial Coin Offering,15000000.0,,15.0,2014.0,2017-12,20174Q,Blockchain Capital, BnkToTheFuture, Draper Associates, Norwest Venture Partners, Plug and Play,Greater Los Angeles Area, West Coast, Western US
Airside Mobile,"Aerospace, Identity Management, Mobile, Transportation, Travel","Arlington, Virginia, United States",6000000.0,Series A,6000000.0,Early Stage Venture,7.0,2009.0,2017-10,20174Q,8VC, Bain Capital Ventures, Grotech Ventures, SaaS Ventures, Thomson Reuters,Washington DC Metro Area, East Coast, Southern US
Nightingale Security,"Network Security, Robotics, Security","San Francisco, California, United States",5600000.0,Series A,5600000.0,Early Stage Venture,6.0,2014.0,2018-01,20181Q,David Sacks, Drone.VC, Impact Venture Capital, Justin Waldron, Seraphim Capital,San Francisco Bay Area, West Coast, Western US
NuCypher,"Blockchain, Cyber Security, Privacy","San Francisco, California, United States",4400000.0,Venture - Series Unknown,4400000.0,,17.0,2015.0,2017-12,20174Q,Compound, Creative Destruction Lab, Kenetic, Polychain, Y Combinator,San Francisco Bay Area, West Coast, Western US
Blox,"Blockchain, Financial Services, Information Technology","Tel Aviv, Tel Aviv, Israel",8000000.0,Initial Coin Offering,8000000.0,,1.0,2016.0,2017-07,20173Q,Coinsilium Group,,,,,,,
Insolar,"Blockchain, Internet, IT Infrastructure","Moscow, Moscow City, Russian Federation",41500000.0,Initial Coin Offering,41500000.0,,,2017.0,2017-12,20174Q,,,,,,,,
NorthRow,"Compliance, FinTech, SaaS, Software","Abingdon, Oxfordshire, United Kingdom",4562620.0,Series A,4562620.0,Early Stage Venture,12.0,2010.0,2017-07,20173Q,Angel CoFund, Maven Capital Partners, Newable Private Investing, NVM Private Equity, QVentures,European Union (EU),,
Tierion,"Bitcoin, SaaS, Software","Mountain View, California, United States",25000000.0,Initial Coin Offering,25000000.0,,3.0,2015.0,2017-07,20173Q,Andreas Schwartz, Blockchain Capital, Fenbushi Capital,,,San Francisco Bay Area, Silicon Valley, West Coast
Beenest,"Blockchain, Ethereum, Sharing Economy, Software, Travel Accommodations, Vacation Rental","San Francisco, California, United States",15000000.0,Initial Coin Offering,15000000.0,,,2017.0,2018-01,20181Q,,,,,,San Francisco Bay Area, West Coast, Western US
Paybase,"Compliance, Crowdfunding, Financial Services","London, England, United Kingdom",901536.0,Grant,5872732.0,,1.0,2013.0,2017-08,20173Q,Innovate UK,,,,,European Union (EU),,
Change,"Banking, Blockchain, Finance, Financial Services","Singapore, Central Region, Singapore",17549264.0,Initial Coin Offering,17549264.0,,1.0,2016.0,2017-10,20174Q,Enabling Future,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Cygilant,"Cyber Security, Enterprise Software, Network Security","Boston, Massachusetts, United States",7000000.0,Venture - Series Unknown,7000000.0,,4.0,2001.0,2017-09,20173Q,Arrowroot Capital, Jay Reddy, Venrock, Vijay Basani,,Greater Boston Area, East Coast, New England
Pwnie Express,"Cyber Security, Network Security, Software","Boston, Massachusetts, United States",8000000.0,Series C,8000000.0,Late Stage Venture,5.0,2009.0,2017-11,20174Q,.406 Ventures, Ascent Venture Partners, Fairhaven Capital Partners, MassMutual Ventures, Vermont Center for Emerging Technologies,Greater Boston Area, East Coast, New England
FunFair Technologies,"Bitcoin, Blockchain, Casino, Gaming, Information Technology, Internet","New York, New York, United States",26000000.0,Initial Coin Offering,26000000.0,,3.0,,2017-07,20173Q,BlockTower Capital, KR1, Pantera Capital,,,Greater New York Area, East Coast, Northeastern US
Rfxcel,"Cloud Computing, Compliance, Data Integration, SaaS, Software","San Ramon, California, United States",30000000.0,Series B,30000000.0,Early Stage Venture,1.0,2003.0,2017-08,20173Q,Kayne Partners,,,,,San Francisco Bay Area, West Coast, Western US
Enveil,"Analytics, Cloud Data Services, Security","Fulton, Maryland, United States",4000000.0,Corporate Round,4000000.0,,4.0,2016.0,2017-11,20174Q,Bloomberg Beta, DataTribe, In-Q-Tel, Thomson Reuters,,Greater Baltimore-Maryland Area, East Coast, Southern US
neXus,"Computer, Information Technology, Network Security","Hägersten, Stockholms Lan, Sweden",34445241.0,Debt Financing,,,1.0,1984.0,2017-12,20174Q,European Investment Bank (EIB),,,,,European Union (EU), Nordic Countries, Scandinavia
Umbo Computer Vision,"Artificial Intelligence, Computer Vision, Machine Learning, Security","San Francisco, California, United States",6800000.0,Series A,6800000.0,Early Stage Venture,7.0,2014.0,2017-10,20174Q,Alibaba Group, AppWorks, MESH, Phison Electronics, Wistron Corporation,San Francisco Bay Area, West Coast, Western US
Swarm Fund,"Blockchain, Crowdfunding, Financial Services","Palo Alto, California, United States",5500000.0,Initial Coin Offering,5500000.0,,2.0,2014.0,2017-10,20174Q,Techstars, Techstars London Accelerator,,,,San Francisco Bay Area, Silicon Valley, West Coast
ReFirm Labs,"Computer, Network Security, Software, Software Engineering","Fulton, Maryland, United States",1500000.0,Seed,1500000.0,Seed,1.0,2017.0,2017-11,20174Q,DataTribe,,,,,Greater Baltimore-Maryland Area, East Coast, Southern US
iSignthis,"Banking, FinTech, Identity Management, Internet, Payments","Melbourne, Victoria, Australia",5014286.0,Post-IPO Equity,5014286.0,IPO,3.0,2015.0,2017-11,20174Q,Canaccord Genuity Group, John Karantzis, KTM Capital,,,Asia-Pacific (APAC), Australasia,
TableSafe,"Cyber Security, Hardware, Mobile Payments, SaaS, Software","Kirkland, Washington, United States",5830739.0,Series E,5830739.0,Late Stage Venture,2.0,2010.0,2017-10,20174Q,SoundBoard Venture Fund, Swiftsure Capital,,,,Greater Seattle Area, West Coast, Western US
SkySafe,"Aerospace, Drone Management, Drones, Robotics, Security","San Diego, California, United States",11500000.0,Series A,11500000.0,Early Stage Venture,12.0,2015.0,2017-07,20173Q,Andreessen Horowitz, BoxGroup, Founder Collective, Sound Ventures, SV Angel,Greater San Diego Area, West Coast, Western US
PerformLine,"Compliance, Internet, Risk Management","Morristown, New Jersey, United States",4000000.0,Debt Financing,,Early Stage Venture,10.0,2008.0,2017-08,20173Q,Bridge Bank, First Round Capital, Neu Venture Capital, Rose Tech Ventures, Western Technology Investment,Greater New York Area, East Coast, Northeastern US
