Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
Bitmain,"Application Specific Integrated Circuit (ASIC), Bitcoin, Electronics, Manufacturing, Semiconductor","Beijing, Beijing, China",422000000.0,Series B,422000000.0,Early Stage Venture,12.0,2013.0,2018-08,20183Q,Coatue Management, IDG Capital, Newegg, Sequoia Capital China, Temasek Holdings,Asia-Pacific (APAC),,
Netskope,"Cloud Security, Cyber Security, Enterprise Software, Software","Santa Clara, California, United States",168700000.0,Series F,168700000.0,Late Stage Venture,8.0,2012.0,2018-11,20184Q,Accel, Dell Technologies Capital, ICONIQ Capital, Lightspeed Venture Partners, Sapphire Ventures,San Francisco Bay Area, Silicon Valley, West Coast
Canary,"Crowdfunding, Hardware, Security, Smart Home","New York, New York, United States",25000000.0,Undisclosed,25000000.0,,10.0,2012.0,2018-10,20184Q,Cota Capital, Khosla Ventures, Smartfrog, Two Sigma Ventures, Walden Riverwood Ventures,Greater New York Area, East Coast, Northeastern US
Darktrace,"Artificial Intelligence, Cyber Security, Information Technology, Machine Learning","Cambridge, Cambridgeshire, United Kingdom",50000000.0,Series E,50000000.0,Late Stage Venture,11.0,2013.0,2018-09,20183Q,Insight Partners, Kohlberg Kravis Roberts, SoftBank, Summit Partners, Talis Capital,European Union (EU),,
Twistlock,"Cloud Security, Enterprise Software, Information Technology, Security","Portland, Oregon, United States",33000000.0,Series C,33000000.0,M&A,6.0,2015.0,2018-08,20183Q,Dell Technologies Capital, ICONIQ Capital, Polaris Partners, TenEleven Ventures, YL Ventures,West Coast, Western US,
Tanium,"Enterprise Software, Information Technology, Security","Emeryville, California, United States",200000000.0,Private Equity,200000000.0,Private Equity,11.0,2007.0,2018-10,20184Q,Andreessen Horowitz, Baillie Gifford, T. Rowe Price, TPG, TPG Growth,San Francisco Bay Area, West Coast, Western US
DuckDuckGo,"Internet, Privacy, Search Engine","Paoli, Pennsylvania, United States",10000000.0,Venture - Series Unknown,10000000.0,,8.0,2008.0,2018-08,20183Q,Joshua Schachter, Kal Vepuri, OMERS Ventures, Scott Banister, Union Square Ventures,Greater Philadelphia Area, Great Lakes, Northeastern US
Sonatype,"Enterprise Software, Open Source, Security, Software","Fulton, Maryland, United States",80000000.0,Private Equity,80000000.0,Private Equity,7.0,2008.0,2018-09,20183Q,Accel, Bay Partners, Morgenthaler Ventures, New Enterprise Associates, TPG,Greater Baltimore-Maryland Area, East Coast, Southern US
Shape Security,"Cyber Security, Network Security, Security","Mountain View, California, United States",26000000.0,Series E,26000000.0,Late Stage Venture,18.0,2011.0,2018-11,20184Q,GV, Northern Light Venture Capital, Norwest Venture Partners, Sierra Ventures, Venrock,San Francisco Bay Area, Silicon Valley, West Coast
Dragos,"Cyber Security, Industrial, Network Security, Security, Software","Hanover, Maryland, United States",37000000.0,Series B,37000000.0,Early Stage Venture,7.0,2016.0,2018-11,20184Q,AllegisCyber, Canaan Partners, DataTribe, Energy Impact Partners, National Grid Partners (NGP),Greater Baltimore-Maryland Area, East Coast, Southern US
Trulioo,"Big Data, Compliance, Finance, Financial Services, FinTech, Identity Management, SaaS, Security","Vancouver, British Columbia, Canada",7680998.0,Series B,7680998.0,Early Stage Venture,6.0,2011.0,2018-07,20183Q,American Express Ventures, BDC Venture Capital, Blumberg Capital, Tenfore Holdings, UST Global,,,
Area 1 Security,"Cyber Security, Network Security, Security","Redwood City, California, United States",32000000.0,Series C,32000000.0,Late Stage Venture,15.0,2013.0,2018-10,20184Q,First Round Capital, Icon Ventures, Kleiner Perkins, RedSeal, Top Tier Capital Partners,San Francisco Bay Area, Silicon Valley, West Coast
Fastly,"Cloud Security, Content Delivery Network, Enterprise Software, Internet, Security","San Francisco, California, United States",40000000.0,Series F,40000000.0,IPO,13.0,2011.0,2018-07,20183Q,August Capital, Battery Ventures, Deutsche Telekom Capital Partners, ICONIQ Capital, Sapphire Ventures,San Francisco Bay Area, West Coast, Western US
Venafi,"Cyber Security, Enterprise Software, Security","Salt Lake City, Utah, United States",100000000.0,Series G,100000000.0,Late Stage Venture,8.0,2004.0,2018-11,20184Q,Foundation Capital, Intel Capital, Pelion Venture Partners, Silver Lake Partners, TCV,Western US,,
Scout,"Consumer Electronics, Hardware, Internet of Things, Security, Software","Chicago, Illinois, United States",7400000.0,Post-IPO Equity,7400000.0,IPO,8.0,2012.0,2018-12,20184Q,Plug and Play, Prosegur, SeedInvest, UpHonest Capital, Wei Guo,Greater Chicago Area, Great Lakes, Midwestern US
Arctic Wolf Networks,"Big Data, Cyber Security, Network Security","Sunnyvale, California, United States",45000000.0,Series C,45000000.0,Late Stage Venture,7.0,2012.0,2018-10,20184Q,Adams Street Partners, Future Fund, Lightspeed Venture Partners, Redpoint, Sonae IM,San Francisco Bay Area, Silicon Valley, West Coast
Drawbridge,"Analytics, Artificial Intelligence, Big Data, Digital Marketing, Identity Management, Machine Learning, Mobile, Personalization, SaaS","San Mateo, California, United States",15000000.0,Venture - Series Unknown,15000000.0,M&A,5.0,2011.0,2018-08,20183Q,Ericsson Ventures, Kleiner Perkins, Mitsui & Co, Northgate Capital, Sequoia Capital,San Francisco Bay Area, Silicon Valley, West Coast
Envoy,"Facility Management, Human Resources, Office Administration, SaaS, Security, Software","San Francisco, California, United States",43000000.0,Series B,43000000.0,Early Stage Venture,17.0,2013.0,2018-10,20184Q,Alexis Ohanian, Andreessen Horowitz, Garry Tan, Initialized Capital, Menlo Ventures,San Francisco Bay Area, West Coast, Western US
AnchorFree,"Mobile Devices, Security, Web Browsers","Menlo Park, California, United States",295000000.0,Venture - Series Unknown,295000000.0,,14.0,2005.0,2018-09,20183Q,8VC, Accel, Goldman Sachs, SignalFire, WndrCo,San Francisco Bay Area, Silicon Valley, West Coast
Sysdig,"Cloud Computing, Cloud Security, Internet, Open Source, Software","San Francisco, California, United States",68500000.0,Series D,68500000.0,Late Stage Venture,3.0,2013.0,2018-09,20183Q,Accel, Bain Capital Ventures, Insight Partners,,,San Francisco Bay Area, West Coast, Western US
SFOX,"Bitcoin, Blockchain, Cryptocurrency, Ethereum, FinTech, Trading Platform, Virtual Currency","Los Angeles, California, United States",23000000.0,Series A,23000000.0,Early Stage Venture,12.0,2014.0,2018-08,20183Q,Blockchain Capital, Plug and Play, SV Angel, Tribe Capital, Y Combinator,Greater Los Angeles Area, West Coast, Western US
ClearDATA,"Cloud Data Services, Cloud Infrastructure, Compliance, Cyber Security, Information Technology, Security, Service Industry","Austin, Texas, United States",26000000.0,Series E,26000000.0,Late Stage Venture,8.0,2011.0,2018-11,20184Q,Flare Capital Partners, Health Care Service Corporation, HLM Venture Partners, Humana, Norwest Venture Partners,Southern US,,
Latch,"Apps, Hardware, Security, Smart Home, Software","New York, New York, United States",70000000.0,Series B,70000000.0,Early Stage Venture,24.0,2014.0,2018-08,20183Q,Brookfield Asset Management, Lux Capital, PCH International, RRE Ventures, Techstars,Greater New York Area, East Coast, Northeastern US
FLIR Systems,"Hardware, Manufacturing, Security, Software","Wilsonville, Oregon, United States",28700000.0,Grant,,IPO,1.0,1978.0,2018-10,20184Q,U.S. Department of Defense,,,,,West Coast, Western US,
Deputy,"Compliance, Human Resources, Messaging, Mobile Apps, SaaS, Scheduling, Social, Task Management","Surry Hills, New South Wales, Australia",81033254.0,Series B,81033254.0,Early Stage Venture,4.0,2008.0,2018-11,20184Q,Equity Venture Partners, IVP (Institutional Venture Partners), OpenView Venture Partners, Square Peg Capital,,Asia-Pacific (APAC), Australasia,
Finicity,"Accounting, Advice, Apps, Big Data, Cloud Data Services, Credit Bureau, Data Integration, Data Visualization, Financial Services, FinTech, Payments, Personal Finance, Predictive Analytics, Security","Salt Lake City, Utah, United States",29000000.0,Series C,29000000.0,Late Stage Venture,3.0,1999.0,2018-07,20183Q,Bridge Bank, Experian, Experian Ventures,,,Western US,,
TraceLink,"Compliance, Life Science, Pharmaceutical, SaaS, Supply Chain Management","North Reading, Massachusetts, United States",93000000.0,Series D,93000000.0,Late Stage Venture,7.0,2009.0,2018-08,20183Q,F-Prime Capital, FirstMark, Georgian Partners, Goldman Sachs, Volition Capital,Greater Boston Area, East Coast, New England
Pindrop,"Audio, Cloud Computing, Fraud Detection, Mobile, Retail Technology, Risk Management, Security","Atlanta, Georgia, United States",90000000.0,Series D,90000000.0,Late Stage Venture,24.0,2011.0,2018-12,20184Q,Andreessen Horowitz, Dimension Data, Felicis Ventures, Goldman Sachs, Redpoint,Greater Atlanta Area, East Coast, Southern US
Indegy,"Cyber Security, Industrial, Infrastructure","New York, New York, United States",18000000.0,Series B,18000000.0,Early Stage Venture,10.0,2014.0,2018-08,20183Q,Aspect Ventures, Centrica, SBI Group, Vertex Ventures, Vertex Ventures Israel,Greater New York Area, East Coast, Northeastern US
Securitize,"Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Information Technology, Software","San Francisco, California, United States",12750000.0,Series A,12750000.0,Early Stage Venture,8.0,2018.0,2018-11,20184Q,9Yards Capital, Blockchain Capital, Coinbase Ventures, Global Brain Corporation, Ripple,San Francisco Bay Area, West Coast, Western US
Zimperium,"Apps, Enterprise Software, Machine Learning, Mobile, Network Security, Security","San Francisco, California, United States",12000000.0,Series E,12000000.0,Late Stage Venture,9.0,2010.0,2018-11,20184Q,Samsung NEXT, Sierra Ventures, SoftBank, Warburg Pincus,,San Francisco Bay Area, West Coast, Western US
Lacework,"Cloud Computing, Cloud Security, Cyber Security, SaaS, Security, Software","Mountain View, California, United States",24000000.0,Series B,24000000.0,Early Stage Venture,11.0,2015.0,2018-08,20183Q,Alumni Ventures Group, AME Cloud Ventures, Spike Ventures, Sutter Hill Ventures, Webb Investment Network,San Francisco Bay Area, Silicon Valley, West Coast
ObserveIT,"Cloud Security, Compliance, Cyber Security, Information Services, Information Technology, Software","Boston, Massachusetts, United States",17000000.0,Series B,17000000.0,Early Stage Venture,4.0,2006.0,2018-07,20183Q,Bain Capital Ventures, MDI Ventures, NightDragon Security, Spring Lake Equity Partners,,Greater Boston Area, East Coast, New England
