Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Shoonya,https://www.crunchbase.com/organization/shoonya,"Computer, Information Technology, Internet, Security, Software","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2017-12-01,month,,,2018-06-06,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,"Andrew Lee, Haystack, Pathbreaker Ventures, Root Ventures, Ubiquity Ventures",5
BoxLock,https://www.crunchbase.com/organization/boxlock-inc,"Hardware, Logistics, Security, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2017-07-03,day,,,2018-04-06,750000,USD,750000,Seed,750000,USD,750000,Seed,,
Libryo,https://www.crunchbase.com/organization/libryo,"Compliance, Environmental Consulting, Legal","London, England, United Kingdom",European Union (EU),2016-03-16,day,,,2018-05-18,,,,Seed,,,,Seed,"Force Over Mass Capital, Innogy Innovation Hub, Nextlaw Labs, Seedcamp",4
GUN,https://www.crunchbase.com/organization/gun-2,"Big Data, Blockchain, Communities, Database","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2014-08-11,day,,,2018-05-24,723000,USD,723000,Seed,723000,USD,723000,Seed,"Boost VC, CRCM Ventures, Draper Associates, Marc Benioff, Nirvana Capital",5
AtYourGate,https://www.crunchbase.com/organization/yourgate,"Delivery, Security, Travel","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",2014-01-01,year,,,2018-04-02,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,TRITON FUNDS LLC,1
Storiqa,https://www.crunchbase.com/organization/storiqa,"Blockchain, E-Commerce, Marketplace, Retail","Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),2017-08-01,day,,,2018-02-03,25000000,USD,25000000,Venture - Series Unknown,25000000,USD,25000000,,,
Dapp.com,https://www.crunchbase.com/organization/dapp-com,"Blockchain, Marketplace, Social Network","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2018-04-01,month,,,2018-05-15,1200000,USD,1200000,Seed,1200000,USD,1200000,Seed,,
chiliZ,https://www.crunchbase.com/organization/chiliz,"Blockchain, Digital Entertainment, eSports, Sports","Malta, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",,,,,2018-06-05,,,,Venture - Series Unknown,,,,,Kosmos Capital,1
Token Daily Capital,https://www.crunchbase.com/organization/token-daily,"Cryptocurrency, Information Technology, Venture Capital","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-01-01,day,,,2018-06-20,,,,Private Equity,,,,Private Equity,"8 Decimal Capital, Daniel Scrivner, M Ventures",3
Element Zero Network,https://www.crunchbase.com/organization/element-zero-network,"Artificial Intelligence, Blockchain, Cryptocurrency, FinTech","Los Altos, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2018-01-01,month,,,2018-05-17,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,,
TaxToken,https://www.crunchbase.com/organization/taxtoken,Blockchain,"Harrisonburg, Virginia, United States","East Coast, Southern US",2017-01-01,year,,,2018-06-12,1379522,USD,1379522,Venture - Series Unknown,1379522,USD,1379522,,,
Storage Made Easy,https://www.crunchbase.com/organization/storage-made-easy,"Cloud Computing, Cloud Security, Compliance, Enterprise Software, File Sharing, Media and Entertainment","Sutton, Surrey, United Kingdom",European Union (EU),2009-11-17,day,,,2018-04-04,3000000,GBP,4226352,Series A,3000000,GBP,4226352,Early Stage Venture,,
Kraydel,https://www.crunchbase.com/organization/kraydel,"Android, Elder Care, Hardware, Information Technology, Machine Learning, Security, Software","Belfast, Belfast, United Kingdom",European Union (EU),2016-01-01,year,,,2018-01-16,1200000,GBP,1655709,Seed,1200000,GBP,1655709,Seed,"Clarendon Fund Managers, Hambro Perks Ltd., Pitch@Palace, Public, techstart",5
Buttrfly,https://www.crunchbase.com/organization/buttrfly,"Blockchain, Brand Marketing, Cryptocurrency","West Hollywood, California, United States","Greater Los Angeles Area, West Coast, Western US",2017-12-01,month,,,2018-03-01,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,,
Bitcoiin2Gen,https://www.crunchbase.com/organization/bitcoiin-2gen,"Blockchain, Cryptocurrency","Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),2015-03-01,day,,,2018-03-23,233000000,USD,233000000,Initial Coin Offering,233000000,USD,233000000,,,
IronNet Cybersecurity,https://www.crunchbase.com/organization/ironnet-cybersecurity,"Computer, Cyber Security, Network Security","Fulton, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2014-01-01,year,,,2018-05-03,78000000,USD,78000000,Series B,78000000,USD,78000000,Early Stage Venture,"C5 Capital, ForgePoint Capital, Kleiner Perkins",3
UPGRADED,https://www.crunchbase.com/organization/upgraded,"Blockchain, Music, Sports, Ticketing","Walnut Creek, California, United States","San Francisco Bay Area, West Coast, Western US",2016-03-01,day,2018-10-18,day,2018-04-02,390000,USD,390000,Convertible Note,,,,M&A,Stadia Ventures,1
LuxTag,https://www.crunchbase.com/organization/luxtag,"Blockchain, Information Services, Information Technology, Internet, Software","Kuala Lumpur, Kuala Lumpur, Malaysia","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2016-10-01,month,,,2018-05-31,600000,USD,600000,Seed,600000,USD,600000,Seed,"NEM, Platcom Ventures, xSquared Ventures",3
YellowHeart,https://www.crunchbase.com/organization/yellowheart,"Blockchain, Media and Entertainment, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2018-01-01,day,,,2018-03-01,1500000,USD,1500000,Seed,1500000,USD,1500000,Seed,Live Nation Entertainment,1
NovaDAX,https://www.crunchbase.com/organization/novadax,"Bitcoin, Blockchain, Cryptocurrency, E-Commerce, Ethereum, Financial Services, FinTech, Internet, Personal Finance, Virtual Currency","Zug, Zug, Switzerland",,2018-03-21,day,,,2018-05-09,20000000,USD,20000000,Series A,20000000,USD,20000000,Early Stage Venture,,
"SoluTech, Inc.",https://www.crunchbase.com/organization/solutech-inc,"Blockchain, Enterprise Software, Internet of Things, Software","New Haven, Connecticut, United States","East Coast, New England, Northeastern US",2016-10-03,day,,,2018-05-17,1000000,USD,1000000,Seed,1000000,USD,1000000,Seed,,
CyGlass,https://www.crunchbase.com/organization/cyglass,"Computer, Network Security","Littleton, Massachusetts, United States","Greater Boston Area, East Coast, New England",2017-01-01,year,,,2018-04-21,4983214,USD,4983214,Venture - Series Unknown,4983214,USD,4983214,,,
Rental Coins,https://www.crunchbase.com/organization/rental-coins,Blockchain,"Bengaluru, Karnataka, India",Asia-Pacific (APAC),,,,,2018-05-17,11863194,USD,11863194,Venture - Series Unknown,11863194,USD,11863194,,,
Persona,https://www.crunchbase.com/organization/persona-6c13,"Identity Management, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-01-26,day,,,2018-05-01,130000,USD,130000,Convertible Note,,,,,,
RxAll Inc.,https://www.crunchbase.com/organization/rxall-inc,"Artificial Intelligence, Blockchain, Database, Hardware, Software","New Haven, Connecticut, United States","East Coast, New England, Northeastern US",2016-01-01,year,,,2018-06-01,500000,USD,500000,Seed,500000,USD,500000,Seed,"Equilateral Ventures, Katapult Accelerator, Merck, Yale University",4
